gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,weekly_study_hours,absences,math_score,reading_score,writing_score
male,group D,associate's degree,free/reduced,none,3.2,5,58,72,58
female,group B,some high school,standard,none,14.2,4,77,89,87
male,group A,some college,standard,none,2.8,0,71,65,54
male,group E,some college,standard,completed,1.6,4,72,80,57
female,group A,some high school,standard,none,3.4,2,71,68,68
male,group E,high school,standard,completed,1.4,4,58,63,58
male,group C,high school,standard,completed,7.0,8,61,70,97
male,group E,some high school,standard,completed,1.3,0,76,59,53
male,group D,bachelor's degree,standard,none,4.6,0,89,72,68
male,group E,bachelor's degree,free/reduced,completed,1.3,5,57,79,68
male,group C,some college,free/reduced,none,3.7,4,78,65,59
female,group D,high school,standard,completed,12.0,2,96,91,84
female,group C,high school,standard,none,5.6,0,74,83,67
female,group C,some college,standard,completed,2.7,0,74,72,70
female,group D,some college,free/reduced,completed,4.4,2,61,78,73
female,group E,some high school,standard,none,4.5,8,74,65,83
female,group E,some college,standard,none,6.0,5,65,81,74
male,group D,associate's degree,standard,completed,2.0,0,68,64,88
female,group C,high school,standard,none,6.4,2,84,69,80
female,group C,some high school,standard,completed,0.9,0,52,59,82
male,group D,associate's degree,standard,none,3.1,0,55,70,46
female,group B,high school,standard,none,3.3,0,70,83,68
male,group B,high school,free/reduced,completed,6.6,0,80,75,90
female,group C,some high school,standard,completed,4.5,0,83,76,74
male,group C,high school,free/reduced,completed,1.9,5,61,74,81
male,group C,associate's degree,free/reduced,none,2.5,0,89,76,78
female,group B,some college,standard,completed,5.0,5,76,80,75
female,group A,high school,standard,none,4.3,4,66,77,65
male,group A,bachelor's degree,standard,none,3.2,0,64,64,64
male,group E,bachelor's degree,standard,completed,3.4,0,81,95,76
male,group C,bachelor's degree,free/reduced,none,6.8,6,75,91,59
male,group C,high school,free/reduced,none,3.3,8,68,63,61
female,group D,high school,standard,none,4.3,3,54,52,57
female,group B,master's degree,standard,completed,16.5,0,100,100,100
female,group E,associate's degree,free/reduced,none,1.9,3,67,70,69
male,group D,some high school,free/reduced,completed,1.5,0,71,64,51
male,group A,some high school,free/reduced,none,7.2,2,67,81,82
female,group C,high school,standard,none,3.0,1,74,75,74
female,group E,bachelor's degree,standard,completed,3.7,7,69,73,85
female,group E,some college,free/reduced,none,2.8,5,77,63,55
female,group C,high school,free/reduced,none,3.8,8,69,53,66
male,group D,some high school,standard,none,11.7,3,67,81,92
male,group B,some college,standard,none,7.3,4,63,71,74
male,group E,associate's degree,standard,completed,7.5,0,77,100,100
female,group B,high school,standard,none,1.9,7,68,82,63
female,group E,associate's degree,standard,completed,2.2,0,66,68,90
male,group D,master's degree,free/reduced,none,0.8,1,60,48,66
male,group D,high school,standard,none,2.8,3,69,64,70
male,group C,some college,free/reduced,completed,8.0,3,78,67,65
male,group B,high school,standard,none,6.1,7,70,70,72
female,group B,associate's degree,free/reduced,none,3.9,0,58,78,63
male,group B,some college,free/reduced,none,4.4,4,69,79,57
female,group B,some college,standard,none,3.0,0,64,74,87
female,group D,associate's degree,standard,none,5.1,4,70,73,72
female,group C,high school,standard,none,7.1,3,77,59,67
female,group A,bachelor's degree,standard,none,1.7,4,69,70,65
male,group E,some college,free/reduced,none,5.4,4,65,68,54
female,group E,some high school,free/reduced,none,7.8,0,65,80,86
female,group E,some college,standard,none,3.5,0,68,67,66
male,group E,associate's degree,standard,none,6.8,5,74,72,79
female,group B,high school,standard,completed,20.0,4,94,96,100
female,group C,bachelor's degree,free/reduced,completed,4.2,2,73,59,74
male,group D,bachelor's degree,standard,none,5.7,5,77,65,79
female,group D,high school,standard,completed,2.9,1,63,64,68
female,group B,master's degree,standard,none,5.0,4,87,81,99
female,group D,some high school,standard,none,5.9,0,86,71,83
female,group B,high school,standard,none,5.0,0,61,70,72
male,group B,high school,free/reduced,none,2.4,3,72,52,53
male,group C,bachelor's degree,standard,none,5.1,1,73,48,75
male,group C,some college,standard,none,10.8,3,86,97,80
male,group C,some high school,free/reduced,none,5.9,3,59,57,82
male,group B,high school,free/reduced,completed,8.0,0,89,78,70
female,group E,some college,standard,none,3.9,2,75,60,73
male,group B,some high school,standard,none,7.0,0,65,84,74
male,group B,bachelor's degree,standard,completed,5.3,7,67,82,78
male,group E,associate's degree,standard,none,2.5,2,53,62,67
male,group E,some college,standard,none,5.4,5,71,68,69
female,group E,master's degree,standard,completed,2.5,3,85,97,88
female,group D,high school,standard,completed,3.1,0,84,78,84
female,group D,master's degree,free/reduced,completed,5.0,0,81,82,87
female,group C,some college,standard,completed,5.4,5,68,73,53
male,group A,some college,free/reduced,completed,2.2,2,61,53,72
male,group C,some high school,standard,completed,8.4,1,95,84,70
female,group C,bachelor's degree,free/reduced,none,6.3,1,69,79,81
female,group B,high school,free/reduced,none,2.9,4,62,73,75
female,group D,some high school,free/reduced,none,1.8,0,49,42,53
female,group C,some high school,free/reduced,none,4.1,4,65,53,60
female,group A,some college,free/reduced,completed,3.4,0,70,71,70
female,group B,some college,standard,none,4.8,2,83,74,85
male,group D,some college,standard,none,3.6,3,75,68,69
female,group A,bachelor's degree,standard,none,1.3,3,63,69,84
female,group D,some high school,free/reduced,completed,3.6,7,65,72,71
male,group C,associate's degree,free/reduced,none,3.7,5,57,56,66
female,group C,high school,standard,completed,6.6,0,70,95,86
male,group C,bachelor's degree,standard,none,2.9,2,61,76,78
male,group D,associate's degree,standard,none,12.3,0,91,88,74
female,group C,some college,free/reduced,none,1.4,3,63,76,62
female,group D,some college,standard,none,9.8,0,86,100,85
female,group C,high school,standard,completed,3.9,7,70,84,81
female,group B,high school,standard,completed,7.5,3,93,58,83
female,group E,associate's degree,standard,completed,4.7,5,80,96,71
male,group D,high school,free/reduced,none,8.9,3,78,81,72
female,group D,high school,free/reduced,none,3.6,5,43,81,52
female,group D,high school,free/reduced,completed,2.3,3,29,81,52
female,group E,associate's degree,standard,completed,10.5,3,95,100,100
male,group D,high school,standard,none,4.2,0,55,79,76
female,group D,some high school,standard,none,5.1,0,70,86,77
female,group D,some college,free/reduced,completed,9.4,1,82,100,98
female,group D,associate's degree,standard,none,2.4,0,87,75,66
male,group D,some high school,standard,none,6.4,5,72,56,56
female,group D,high school,standard,none,3.1,6,66,64,65
male,group B,some high school,free/reduced,none,4.1,0,71,68,61
male,group E,high school,standard,completed,4.7,2,80,79,70
female,group E,high school,free/reduced,completed,1.8,5,61,56,66
male,group A,associate's degree,standard,none,2.8,6,76,52,60
female,group D,some college,standard,none,10.1,6,69,75,64
male,group B,some college,standard,none,7.6,7,75,81,69
male,group C,high school,standard,none,4.3,5,50,82,56
male,group D,bachelor's degree,standard,none,5.2,2,76,85,77
female,group B,high school,standard,none,3.8,3,70,80,63
male,group D,master's degree,standard,none,10.1,0,100,89,98
female,group D,some college,free/reduced,none,4.0,0,52,54,83
female,group C,some high school,standard,none,5.2,2,64,68,77
female,group A,some college,free/reduced,none,8.9,0,86,77,64
male,group C,high school,standard,none,2.8,0,70,64,81
male,group D,some college,free/reduced,none,11.4,3,80,80,93
female,group E,some high school,standard,completed,1.8,0,64,79,74
female,group D,some high school,standard,none,11.9,6,75,90,93
female,group B,bachelor's degree,standard,none,3.6,3,85,72,68
male,group D,high school,standard,completed,3.9,2,75,60,59
female,group C,associate's degree,standard,completed,1.4,5,77,71,67
male,group D,high school,free/reduced,none,3.4,0,62,65,79
female,group B,some college,free/reduced,completed,2.4,5,56,81,56
male,group D,some college,free/reduced,none,3.1,3,71,58,62
female,group C,some college,free/reduced,none,4.1,7,67,69,63
female,group E,high school,standard,none,8.0,3,100,81,73
female,group C,high school,standard,completed,5.1,3,69,81,76
male,group D,some high school,standard,completed,5.4,2,85,87,78
male,group E,high school,standard,none,2.3,0,53,62,62
female,group B,some college,standard,none,2.6,3,69,64,56
male,group E,bachelor's degree,standard,none,13.2,4,98,91,92
male,group D,bachelor's degree,standard,none,2.9,0,51,68,82
male,group A,associate's degree,standard,none,12.1,4,83,92,94
male,group C,associate's degree,free/reduced,completed,3.9,0,69,70,68
female,group D,some college,free/reduced,completed,4.5,5,65,77,62
female,group A,high school,standard,completed,8.5,4,89,86,83
male,group C,bachelor's degree,free/reduced,completed,9.6,0,99,92,100
male,group C,some college,free/reduced,none,4.2,4,61,61,69
male,group D,some college,standard,completed,3.6,0,80,77,85
female,group A,some high school,standard,none,4.3,1,71,72,78
female,group E,high school,standard,none,5.5,0,74,78,79
male,group E,high school,free/reduced,none,7.7,6,56,68,69
male,group E,bachelor's degree,free/reduced,none,4.5,4,77,84,73
male,group D,some college,standard,none,6.5,1,78,68,71
male,group B,high school,standard,none,12.0,5,85,82,69
male,group D,master's degree,standard,completed,5.6,1,77,73,93
female,group A,some high school,standard,none,5.4,3,65,75,82
female,group A,high school,standard,none,1.8,5,61,55,54
male,group C,some high school,free/reduced,completed,0.9,3,47,61,70
male,group C,associate's degree,free/reduced,none,5.7,4,50,66,83
female,group D,bachelor's degree,free/reduced,none,4.2,0,65,75,72
female,group D,high school,free/reduced,none,3.3,5,66,58,54
male,group C,bachelor's degree,free/reduced,none,5.2,0,64,68,73
female,group B,high school,standard,none,4.3,4,58,83,64
female,group E,bachelor's degree,standard,none,8.8,4,74,86,77
male,group C,associate's degree,standard,none,4.7,7,63,65,73
male,group C,associate's degree,free/reduced,none,2.9,0,61,64,51
male,group B,some high school,standard,none,8.1,0,97,93,64
female,group D,master's degree,free/reduced,none,3.9,5,78,68,69
male,group D,associate's degree,standard,none,6.1,3,84,70,75
female,group B,high school,standard,completed,3.4,3,87,71,79
female,group A,associate's degree,standard,none,3.0,7,56,64,84
male,group D,high school,standard,none,4.7,4,55,64,69
male,group D,bachelor's degree,free/reduced,completed,4.5,5,62,64,80
male,group B,some high school,free/reduced,none,6.0,0,80,58,59
male,group E,some college,standard,none,3.8,2,63,63,76
male,group B,some college,standard,none,1.5,0,53,73,62
female,group C,some high school,standard,completed,3.5,7,67,69,72
female,group E,high school,standard,completed,7.2,0,83,86,85
female,group C,some high school,standard,none,3.7,6,67,78,74
female,group D,high school,free/reduced,completed,3.9,0,76,87,63
male,group C,high school,standard,none,8.1,0,69,77,58
female,group B,some college,standard,completed,2.9,3,83,72,75
male,group E,high school,standard,none,1.8,0,58,59,70
male,group C,high school,standard,none,4.1,0,68,77,72
male,group E,associate's degree,standard,completed,3.4,3,83,76,88
female,group B,some high school,standard,none,2.5,0,60,65,71
male,group B,bachelor's degree,standard,none,4.0,0,68,68,69
female,group A,bachelor's degree,standard,completed,6.0,2,92,81,66
female,group D,some college,standard,none,4.5,4,62,75,69
male,group C,some college,standard,none,5.4,6,65,59,79
female,group E,bachelor's degree,standard,none,13.3,6,95,100,87
female,group C,high school,free/reduced,completed,3.6,8,87,64,68
male,group E,some high school,standard,completed,5.3,0,84,79,83
female,group B,high school,standard,none,3.3,5,70,56,57
male,group E,associate's degree,standard,completed,2.7,2,81,78,82
male,group D,some high school,standard,none,3.2,5,51,61,78
male,group D,some college,standard,completed,3.4,1,78,78,76
female,group D,master's degree,free/reduced,none,5.6,0,75,90,66
female,group D,bachelor's degree,free/reduced,none,18.3,3,100,100,97
male,group D,some college,standard,completed,2.9,4,74,68,54
female,group B,some high school,standard,none,3.5,1,71,63,72
male,group A,associate's degree,standard,none,4.3,0,70,80,78
male,group E,some college,free/reduced,none,5.7,0,69,83,85
male,group D,some high school,standard,completed,5.2,0,66,83,77
female,group D,some high school,standard,none,9.7,5,74,85,82
female,group C,bachelor's degree,standard,none,1.0,0,83,77,63
male,group B,some college,standard,none,1.1,0,68,79,62
female,group B,associate's degree,standard,none,3.3,3,70,55,58
female,group D,bachelor's degree,standard,none,8.7,0,100,93,84
male,group C,some college,standard,completed,1.8,5,56,81,68
male,group B,some college,free/reduced,completed,0.7,3,53,55,68
male,group C,high school,standard,none,6.3,3,88,65,67
male,group A,high school,standard,none,5.2,5,68,62,69
female,group C,high school,free/reduced,none,2.3,3,58,56,58
male,group B,associate's degree,standard,none,2.5,1,56,66,66
male,group D,some college,standard,completed,2.5,0,80,80,77
female,group C,bachelor's degree,standard,none,4.8,0,83,87,78
female,group C,high school,standard,none,3.1,0,58,81,77
male,group A,some college,free/reduced,completed,6.0,1,75,71,77
male,group A,some college,standard,none,0.8,4,58,55,59
male,group C,some college,standard,completed,2.7,4,75,87,72
male,group C,some college,standard,none,2.3,8,49,68,55
female,group D,high school,standard,completed,3.8,0,91,81,76
female,group C,some college,free/reduced,completed,3.2,4,80,77,90
male,group D,some high school,standard,completed,7.2,4,75,80,72
male,group E,high school,standard,completed,1.5,0,70,79,70
male,group D,high school,free/reduced,none,4.6,3,61,62,60
male,group A,some college,standard,none,6.3,0,67,79,74
female,group C,bachelor's degree,free/reduced,none,13.7,3,83,76,85
female,group B,some college,free/reduced,none,3.4,5,60,58,66
male,group B,associate's degree,free/reduced,none,5.4,0,86,66,55
male,group E,some college,standard,none,1.5,6,70,59,71
male,group B,some college,standard,none,1.1,5,70,54,67
male,group C,some high school,free/reduced,none,7.4,5,69,63,55
male,group D,high school,standard,none,4.5,6,54,54,46
female,group D,high school,standard,completed,9.1,0,89,96,81
female,group C,high school,free/reduced,none,2.0,3,69,61,58
female,group A,some high school,free/reduced,none,6.1,1,55,55,92
male,group C,some high school,standard,none,13.8,6,89,77,88
female,group C,high school,standard,none,5.8,0,98,80,59
female,group A,master's degree,standard,completed,5.3,7,93,79,77
male,group C,high school,free/reduced,none,4.5,3,77,58,63
female,group A,high school,free/reduced,none,1.7,0,64,63,65
male,group A,high school,standard,completed,10.1,3,96,92,76
female,group C,some college,standard,none,3.1,0,64,60,70
female,group B,high school,free/reduced,none,6.1,4,75,74,61
male,group C,high school,standard,none,1.8,0,71,59,56
female,group D,some college,standard,completed,2.2,4,77,76,77
female,group D,some high school,free/reduced,none,10.6,2,89,78,84
male,group B,some high school,standard,none,3.6,3,59,62,73
male,group B,high school,standard,none,10.7,4,77,72,85
female,group B,some high school,standard,none,4.3,2,69,68,65
male,group D,some high school,standard,none,1.5,3,50,77,67
female,group D,high school,free/reduced,none,7.7,0,76,63,77
female,group A,associate's degree,standard,none,3.1,0,55,90,74
male,group E,some college,free/reduced,completed,6.8,4,86,76,71
male,group A,some college,standard,completed,4.5,0,80,82,76
male,group C,high school,standard,none,1.8,8,53,50,60
male,group D,bachelor's degree,standard,completed,4.9,5,71,74,100
male,group E,high school,standard,none,16.7,0,92,92,98
female,group D,some high school,standard,none,6.0,5,76,62,65
female,group D,some college,standard,none,4.3,1,78,72,66
male,group C,some high school,standard,completed,8.5,4,74,80,78
female,group D,high school,standard,completed,5.1,3,70,97,99
female,group A,some college,free/reduced,none,5.1,1,75,60,66
female,group E,bachelor's degree,free/reduced,completed,2.3,0,68,78,84
female,group C,high school,free/reduced,none,5.2,4,66,69,63
male,group D,some college,standard,completed,8.3,1,88,79,90
male,group C,master's degree,standard,completed,2.7,6,79,84,84
male,group D,some high school,free/reduced,none,10.5,0,84,74,71
female,group C,high school,standard,completed,4.2,0,67,59,75
female,group D,high school,standard,none,2.6,4,46,73,81
female,group A,high school,free/reduced,none,8.2,6,64,61,79
female,group A,high school,free/reduced,none,3.8,3,81,56,71
male,group B,bachelor's degree,standard,none,7.1,3,97,85,85
male,group B,some college,standard,completed,3.8,2,95,75,82
male,group E,some college,free/reduced,completed,4.3,7,67,79,88
female,group B,high school,standard,none,6.0,0,57,88,76
male,group E,associate's degree,free/reduced,completed,5.3,0,54,74,84
male,group C,bachelor's degree,free/reduced,completed,1.4,0,65,80,59
male,group B,associate's degree,free/reduced,none,2.3,2,60,57,56
male,group D,some high school,standard,completed,7.8,5,92,100,69
female,group D,some college,standard,none,4.1,5,77,65,81
female,group C,some high school,free/reduced,completed,3.3,3,71,80,47
female,group C,high school,standard,none,2.0,4,55,73,61
male,group D,some high school,free/reduced,none,2.3,4,46,61,30
female,group B,some college,standard,none,1.3,2,68,62,59
female,group E,some college,standard,completed,4.2,0,88,82,78
female,group E,some high school,free/reduced,none,3.1,0,67,45,76
female,group D,high school,free/reduced,none,2.5,3,50,65,65
male,group B,high school,free/reduced,none,4.3,6,66,65,53
male,group D,high school,free/reduced,completed,5.6,1,79,78,85
female,group A,some high school,standard,none,15.7,2,81,67,93
female,group A,high school,free/reduced,none,1.8,3,51,50,61
female,group B,associate's degree,free/reduced,none,9.0,0,86,74,69
female,group C,some high school,standard,none,8.0,0,75,82,70
female,group E,some high school,standard,completed,2.8,0,91,80,69
female,group D,high school,standard,completed,5.1,3,84,79,80
female,group D,bachelor's degree,standard,none,3.4,0,69,82,76
male,group C,some college,free/reduced,none,5.0,5,63,56,78
male,group C,some college,standard,completed,11.1,6,89,95,92
female,group C,high school,standard,none,6.4,5,65,78,49
female,group E,some college,standard,completed,6.1,0,76,90,88
male,group A,some high school,standard,none,3.5,4,70,64,51
female,group E,some college,standard,completed,1.8,5,81,91,64
male,group C,bachelor's degree,standard,none,4.0,7,74,74,61
male,group C,some college,free/reduced,none,9.2,1,90,68,70
female,group D,bachelor's degree,standard,completed,1.8,0,74,83,68
female,group C,associate's degree,standard,none,2.4,3,85,77,71
male,group E,some high school,standard,none,4.8,5,56,62,53
female,group E,bachelor's degree,free/reduced,none,2.5,3,55,77,69
male,group C,some high school,standard,none,2.8,5,43,67,82
male,group B,some college,free/reduced,none,3.5,4,57,42,50
male,group C,some high school,free/reduced,none,2.0,0,53,63,57
female,group E,some high school,free/reduced,none,2.5,4,64,57,37
male,group B,high school,standard,none,6.8,6,72,77,68
female,group D,high school,free/reduced,completed,2.0,5,54,77,73
male,group D,high school,standard,none,1.7,2,59,67,70
male,group D,some college,free/reduced,none,3.1,1,59,80,65
female,group B,some high school,standard,completed,7.0,1,65,83,92
male,group D,some high school,standard,none,4.0,0,58,75,91
male,group E,some college,standard,none,3.4,5,58,75,82
female,group B,high school,standard,none,4.6,3,84,71,66
female,group B,associate's degree,free/reduced,none,1.6,5,62,69,48
female,group E,some college,standard,none,6.0,4,80,70,71
female,group B,bachelor's degree,standard,none,5.6,3,61,75,69
female,group D,some college,standard,none,3.5,0,83,62,77
male,group C,high school,free/reduced,none,8.2,5,81,73,59
female,group B,some college,free/reduced,none,2.3,6,39,64,60
female,group E,high school,free/reduced,none,8.8,2,67,87,83
male,group C,high school,free/reduced,none,4.9,5,67,71,62
female,group C,associate's degree,standard,completed,3.7,6,83,76,69
male,group C,high school,standard,none,4.4,0,63,61,81
female,group C,associate's degree,free/reduced,none,4.2,5,62,71,49
female,group B,associate's degree,standard,none,9.3,5,75,93,79
male,group C,bachelor's degree,standard,none,2.3,0,71,79,71
male,group E,bachelor's degree,standard,none,2.8,0,83,83,72
male,group B,high school,standard,none,8.3,6,65,73,76
male,group D,high school,standard,completed,3.1,0,85,73,82
male,group C,some college,free/reduced,none,7.7,5,61,64,70
female,group D,high school,standard,completed,12.4,0,87,97,94
female,group B,some college,standard,none,3.5,0,80,73,69
male,group E,some college,standard,none,6.7,5,81,76,67
male,group C,some college,free/reduced,none,2.2,2,69,61,68
male,group B,high school,standard,none,7.0,10,54,68,62
female,group A,some high school,free/reduced,none,5.1,2,60,60,74
female,group B,high school,free/reduced,completed,6.0,2,85,87,77
male,group C,some high school,standard,none,3.0,2,64,67,60
female,group C,bachelor's degree,free/reduced,completed,1.7,3,61,72,78
male,group D,high school,free/reduced,completed,6.1,3,78,69,68
male,group C,some high school,free/reduced,none,1.3,0,50,47,64
female,group B,some high school,free/reduced,none,3.7,0,82,78,67
male,group D,some college,standard,none,7.9,7,88,80,68
male,group D,some college,standard,none,5.0,5,75,56,74
female,group B,high school,standard,none,14.4,0,100,100,98
male,group B,some high school,standard,none,8.3,0,77,86,87
female,group A,high school,free/reduced,none,3.0,0,72,67,74
male,group D,high school,standard,none,4.6,3,82,84,73
female,group D,some college,free/reduced,completed,4.4,7,73,75,61
male,group C,some college,free/reduced,completed,1.7,0,66,58,92
female,group D,high school,free/reduced,completed,2.5,3,52,74,57
female,group D,high school,free/reduced,none,3.2,7,58,63,68
male,group C,master's degree,standard,none,1.3,1,77,65,74
female,group E,high school,standard,none,4.6,0,82,79,63
female,group B,some college,standard,none,3.9,3,75,57,70
male,group B,some high school,standard,none,1.6,5,53,70,59
male,group B,high school,standard,completed,5.7,2,59,73,92
male,group A,some high school,standard,completed,6.9,0,76,74,76
male,group C,some college,free/reduced,none,5.1,4,62,66,63
female,group E,master's degree,standard,none,3.7,4,70,79,53
female,group A,high school,standard,none,6.4,6,77,74,88
female,group B,some high school,free/reduced,none,6.7,0,90,65,61
male,group C,some high school,standard,none,5.4,5,68,64,70
male,group E,high school,standard,none,2.7,0,64,58,67
male,group C,some high school,free/reduced,none,5.3,4,59,62,62
male,group C,some high school,standard,completed,9.2,4,84,94,91
female,group A,associate's degree,free/reduced,none,3.1,4,56,66,80
female,group B,high school,standard,completed,15.8,7,98,100,100
female,group E,high school,free/reduced,none,3.3,5,65,76,67
male,group E,bachelor's degree,standard,none,4.6,5,73,67,75
female,group A,some high school,standard,none,3.0,6,67,63,73
male,group E,bachelor's degree,standard,none,5.1,0,80,97,73
female,group D,high school,free/reduced,none,1.6,7,38,71,66
female,group E,bachelor's degree,standard,completed,3.2,3,86,67,91
female,group C,some college,standard,completed,2.3,5,66,79,84
male,group C,associate's degree,free/reduced,none,4.9,2,56,69,62
male,group C,master's degree,free/reduced,none,8.1,4,64,85,75
female,group D,high school,standard,completed,6.6,6,84,75,83
female,group B,master's degree,free/reduced,none,1.1,6,59,56,50
male,group A,high school,standard,none,15.3,0,75,87,100
female,group C,high school,standard,none,5.4,0,78,71,75
male,group D,high school,standard,completed,2.8,2,59,82,77
male,group B,some college,free/reduced,completed,4.9,0,77,67,71
female,group D,some high school,free/reduced,none,5.0,0,69,63,56
female,group E,some college,standard,completed,3.0,4,84,61,71
male,group B,some college,standard,completed,5.0,3,96,89,81
female,group D,associate's degree,standard,none,3.1,8,52,79,73
female,group C,associate's degree,free/reduced,none,3.5,6,63,62,66
male,group E,high school,free/reduced,none,3.0,0,59,61,66
male,group B,high school,standard,completed,1.9,0,77,79,71
male,group D,high school,free/reduced,none,4.9,0,68,81,71
male,group D,high school,free/reduced,completed,6.4,0,73,82,91
female,group E,some high school,standard,none,6.1,6,64,65,76
female,group D,high school,standard,completed,7.3,0,74,73,94
male,group C,high school,standard,none,5.4,4,79,61,72
male,group D,master's degree,free/reduced,none,3.3,9,66,64,49
female,group E,some college,free/reduced,completed,7.4,7,86,73,68
male,group C,high school,standard,completed,2.0,0,70,77,78
female,group A,some college,free/reduced,completed,2.6,2,65,68,72
female,group E,some high school,standard,none,2.5,0,56,59,71
female,group D,high school,standard,completed,8.6,2,90,78,100
female,group D,some college,free/reduced,none,7.9,4,62,88,80
female,group B,high school,free/reduced,none,6.0,6,84,75,78
female,group D,high school,standard,none,8.5,0,67,98,82
female,group C,master's degree,standard,none,2.6,3,75,79,66
male,group D,bachelor's degree,standard,none,5.5,5,88,71,73
male,group B,some college,standard,completed,4.2,0,85,93,73
male,group D,some college,standard,none,7.4,5,75,75,88
male,group E,some college,standard,completed,4.2,7,64,77,81
female,group A,high school,free/reduced,none,3.6,0,51,67,71
female,group E,high school,standard,none,6.2,0,83,51,88
male,group C,some high school,free/reduced,none,7.6,1,84,85,52
female,group E,high school,free/reduced,completed,3.0,0,68,78,78
male,group D,some college,standard,completed,4.3,0,68,84,68
female,group C,high school,standard,completed,2.4,4,48,74,73
male,group D,master's degree,free/reduced,completed,1.0,6,57,71,65
female,group E,bachelor's degree,standard,none,5.1,1,76,73,84
male,group C,associate's degree,free/reduced,none,6.5,4,85,76,72
male,group C,some college,free/reduced,completed,5.2,3,80,64,87
male,group D,bachelor's degree,free/reduced,none,1.4,0,66,67,59
female,group D,some high school,free/reduced,none,3.6,4,57,68,68
male,group D,associate's degree,standard,none,1.2,4,57,63,66
male,group D,some high school,standard,none,10.2,0,94,85,66
male,group C,associate's degree,standard,none,2.3,2,69,60,60
male,group D,high school,standard,none,9.5,7,53,68,74
male,group B,bachelor's degree,standard,none,7.9,0,75,85,92
female,group C,bachelor's degree,standard,none,2.6,0,64,81,78
male,group A,some high school,free/reduced,none,2.3,5,50,40,46
male,group C,high school,standard,none,5.5,3,75,76,69
male,group C,master's degree,standard,completed,2.7,4,76,74,96
female,group C,high school,standard,none,4.8,1,71,72,74
female,group D,bachelor's degree,standard,none,3.4,0,87,64,72
male,group C,some college,standard,completed,1.5,0,67,68,79
male,group C,high school,standard,none,1.2,0,82,74,71
female,group B,high school,standard,none,5.1,0,67,76,70
male,group C,high school,standard,completed,3.2,0,76,74,81
female,group B,associate's degree,free/reduced,none,3.2,2,63,67,64
female,group A,high school,free/reduced,completed,6.8,5,77,82,83
female,group D,some college,free/reduced,completed,9.1,4,87,88,85
female,group D,high school,standard,none,3.8,0,75,72,76
male,group D,some college,free/reduced,none,3.7,4,54,73,56
female,group C,bachelor's degree,free/reduced,none,6.1,5,59,81,64
male,group C,master's degree,standard,none,2.0,0,96,77,80
male,group E,high school,free/reduced,none,5.1,6,57,64,62
male,group C,associate's degree,standard,none,6.2,0,83,84,80
male,group C,associate's degree,free/reduced,none,6.7,0,56,77,71
female,group A,some college,free/reduced,none,1.4,4,56,71,68
